,online_order,book_table,cuisines,approx_cost(for two people),listed_in(type),type,rate
8615,1,0,14,500.0,2,4,3.9
29303,0,0,17,900.0,1,10,4.7
2779,1,0,17,250.0,2,10,3.7
21109,1,0,17,750.0,4,4,3.5
44380,1,0,17,700.0,3,3,4.1
26908,1,0,3,600.0,2,3,4.2
43412,0,0,17,450.0,4,4,3.6
1945,0,0,0,300.0,3,0,3.5
26781,1,0,17,300.0,2,10,4.0
34963,1,0,17,500.0,2,8,4.0
42693,1,1,17,1000.0,2,4,2.2
39569,1,0,17,700.0,2,4,4.2
41973,0,0,16,350.0,4,8,3.0
7882,1,0,17,600.0,4,8,3.8
2029,0,0,17,700.0,4,10,3.3
36705,1,0,17,400.0,4,3,4.0
44768,1,0,17,450.0,1,10,4.1
33633,1,0,17,600.0,2,4,4.1
22366,1,0,17,400.0,2,8,4.0
15225,0,0,17,400.0,2,2,3.8
16834,1,1,17,1500.0,2,5,4.0
22373,1,0,17,100.0,2,2,3.4
5047,0,0,3,600.0,1,3,4.3
6045,0,1,17,2200.0,4,10,4.4
10877,0,1,17,1600.0,4,10,4.5
28694,1,0,17,250.0,4,8,4.0
33769,0,0,17,200.0,3,8,3.5
40747,0,0,17,600.0,2,3,2.9
16954,1,0,17,900.0,3,3,3.1
26214,1,0,17,500.0,4,4,3.5
28767,1,0,17,600.0,4,8,3.9
32470,1,0,17,500.0,2,9,3.7
39820,1,0,17,400.0,2,8,3.2
15964,1,0,17,800.0,2,4,3.4
44550,1,0,17,300.0,4,8,3.3
19738,1,0,17,300.0,2,8,4.1
19943,0,0,17,200.0,2,8,4.4
42294,1,0,17,500.0,2,8,3.6
28302,1,0,17,150.0,3,7,3.5
7397,1,0,17,700.0,2,4,3.7
24988,0,0,11,1100.0,4,10,4.0
6647,0,1,17,1200.0,5,1,3.8
21667,0,0,17,300.0,4,8,3.5
79,0,0,17,350.0,2,8,3.8
38555,1,0,7,400.0,3,7,4.1
3534,1,0,17,750.0,4,4,3.9
49767,1,0,15,500.0,4,8,3.6
40140,1,0,18,150.0,4,10,4.1
25677,1,0,2,300.0,2,8,3.5
15955,1,0,17,200.0,2,9,3.1
4575,1,0,17,900.0,4,4,3.8
30083,1,1,17,1000.0,2,5,4.4
22257,1,0,17,250.0,2,8,3.2
35558,1,0,17,600.0,2,3,3.8
4209,1,0,17,700.0,2,10,3.6
49247,1,0,17,600.0,2,8,3.2
22353,1,0,15,300.0,2,8,3.3
30749,0,0,17,350.0,2,8,3.4
69,1,0,17,600.0,2,8,3.2
29277,0,1,15,1000.0,0,4,3.5
8460,1,0,15,300.0,2,8,2.9
6108,0,1,11,3000.0,4,10,4.2
45145,0,0,15,200.0,2,8,3.5
36694,0,1,17,1800.0,4,10,4.6
40350,1,0,17,450.0,4,4,3.8
17722,1,0,17,800.0,2,4,3.9
44017,1,0,17,800.0,2,4,4.0
16658,1,0,16,500.0,2,8,3.1
9285,1,1,14,600.0,2,4,3.8
7406,1,0,18,600.0,2,6,3.5
15644,1,0,17,400.0,4,4,3.6
30289,0,0,17,200.0,2,8,3.5
10863,0,1,17,2000.0,4,10,4.4
30012,1,0,15,250.0,2,8,3.5
16033,1,1,17,450.0,2,8,4.3
48622,0,0,17,600.0,4,4,3.4
